geneID	reactionID
ENSG00000122643	R_HMR_4450
ENSG00000125458	R_HMR_4450
ENSG00000135318	R_HMR_4450
ENSG00000141698	R_HMR_4450
ENSG00000146587	R_HMR_4450
ENSG00000185013	R_HMR_4450
ENSG00000205309	R_HMR_4450
ENSG00000250741	R_HMR_4450
ENSG00000004455	R_HMR_4480
ENSG00000072778	R_HMR_4480
ENSG00000085231	R_HMR_4480
ENSG00000087008	R_HMR_4480
ENSG00000106992	R_HMR_4480
ENSG00000117054	R_HMR_4480
ENSG00000140057	R_HMR_4480
ENSG00000147853	R_HMR_4480
ENSG00000151498	R_HMR_4480
ENSG00000154027	R_HMR_4480
ENSG00000155085	R_HMR_4480
ENSG00000162433	R_HMR_4480
ENSG00000165695	R_HMR_4480
ENSG00000177646	R_HMR_4480
ENSG00000093072	R_HMR_4481
ENSG00000196839	R_HMR_4481
ENSG00000093072	R_HMR_4482
ENSG00000196839	R_HMR_4482
ENSG00000156510	R_HMR_4486
ENSG00000156515	R_HMR_4486
ENSG00000159399	R_HMR_4486
ENSG00000160883	R_HMR_4486
ENSG00000156510	R_HMR_4487
ENSG00000156515	R_HMR_4487
ENSG00000159399	R_HMR_4487
ENSG00000160883	R_HMR_4487
ENSG00000156510	R_HMR_4488
ENSG00000156515	R_HMR_4488
ENSG00000159399	R_HMR_4488
ENSG00000160883	R_HMR_4488
ENSG00000156510	R_HMR_4489
ENSG00000156515	R_HMR_4489
ENSG00000159399	R_HMR_4489
ENSG00000160883	R_HMR_4489
ENSG00000156510	R_HMR_4492
ENSG00000156515	R_HMR_4492
ENSG00000159399	R_HMR_4492
ENSG00000160883	R_HMR_4492
ENSG00000156510	R_HMR_4493
ENSG00000156515	R_HMR_4493
ENSG00000159399	R_HMR_4493
ENSG00000160883	R_HMR_4493
ENSG00000156510	R_HMR_4495
ENSG00000156515	R_HMR_4495
ENSG00000159399	R_HMR_4495
ENSG00000160883	R_HMR_4495
ENSG00000156510	R_HMR_4496
ENSG00000156515	R_HMR_4496
ENSG00000159399	R_HMR_4496
ENSG00000160883	R_HMR_4496
ENSG00000067225	R_HMR_4573
ENSG00000143627	R_HMR_4573
ENSG00000014257	R_HMR_4602
ENSG00000076685	R_HMR_4602
ENSG00000116981	R_HMR_4602
ENSG00000122643	R_HMR_4602
ENSG00000125458	R_HMR_4602
ENSG00000135318	R_HMR_4602
ENSG00000141698	R_HMR_4602
ENSG00000146587	R_HMR_4602
ENSG00000185013	R_HMR_4602
ENSG00000205309	R_HMR_4602
ENSG00000250741	R_HMR_4602
ENSG00000025708	R_HMR_4603
ENSG00000198805	R_HMR_4603
ENSG00000014257	R_HMR_4632
ENSG00000076685	R_HMR_4632
ENSG00000116981	R_HMR_4632
ENSG00000122643	R_HMR_4632
ENSG00000125458	R_HMR_4632
ENSG00000135318	R_HMR_4632
ENSG00000141698	R_HMR_4632
ENSG00000146587	R_HMR_4632
ENSG00000185013	R_HMR_4632
ENSG00000205309	R_HMR_4632
